Epoch,Score,Tetrominoes,Cleared Lines
235,19,21,0
236,18,20,0
237,22,24,0
238,14,16,0
239,19,21,0
240,26,28,0
241,15,17,0
242,17,19,0
243,18,20,0
244,24,26,0
245,15,17,0
246,19,21,0
247,12,14,0
248,11,13,0
249,18,20,0
250,21,23,0
251,13,15,0
252,18,20,0
253,13,15,0
254,19,21,0
255,14,16,0
256,14,16,0
257,15,17,0
258,16,18,0
259,14,16,0
260,14,16,0
261,9,11,0
262,16,18,0
263,22,24,0
264,15,17,0
265,14,16,0
266,11,13,0
267,31,23,1
268,21,23,0
269,19,21,0
270,20,22,0
271,17,19,0
272,15,17,0
273,18,20,0
274,19,21,0
275,19,21,0
276,16,18,0
277,18,20,0
278,14,16,0
279,19,21,0
280,15,17,0
281,13,15,0
282,17,19,0
283,16,18,0
284,14,16,0
285,11,13,0
286,16,18,0
287,16,18,0
288,13,15,0
289,14,16,0
290,15,17,0
291,16,18,0
292,10,12,0
293,18,20,0
294,20,22,0
295,20,22,0
296,14,16,0
297,12,14,0
298,16,18,0
299,20,22,0
300,12,14,0
301,15,17,0
302,20,22,0
303,13,15,0
304,20,22,0
305,15,17,0
306,18,20,0
307,12,14,0
308,16,18,0
309,20,22,0
310,14,16,0
311,18,20,0
312,12,14,0
313,14,16,0
314,21,23,0
315,18,20,0
316,12,14,0
317,14,16,0
318,24,26,0
319,15,17,0
320,20,22,0
321,14,16,0
322,14,16,0
323,13,15,0
324,9,11,0
325,23,25,0
326,20,22,0
327,17,19,0
328,16,18,0
329,22,24,0
330,21,23,0
331,11,13,0
332,15,17,0
333,16,18,0
334,22,24,0
335,12,14,0
336,11,13,0
337,21,23,0
338,13,15,0
339,18,20,0
340,20,22,0
341,12,14,0
342,15,17,0
343,18,20,0
344,11,13,0
345,8,10,0
346,18,20,0
347,21,23,0
348,23,25,0
349,18,20,0
350,13,15,0
351,15,17,0
352,15,17,0
353,12,14,0
354,14,16,0
355,16,18,0
356,23,25,0
357,17,19,0
358,17,19,0
359,23,25,0
360,21,23,0
361,23,25,0
362,18,20,0
363,15,17,0
364,18,20,0
365,19,21,0
366,18,20,0
367,20,22,0
368,23,25,0
369,18,20,0
370,27,29,0
371,17,19,0
372,13,15,0
373,9,11,0
374,13,15,0
375,27,29,0
376,16,18,0
377,15,17,0
378,18,20,0
379,18,20,0
380,19,21,0
381,20,22,0
382,16,18,0
383,19,21,0
384,22,24,0
385,17,19,0
386,22,24,0
387,13,15,0
388,19,21,0
389,22,24,0
390,18,20,0
391,19,21,0
392,21,23,0
393,24,26,0
394,11,13,0
395,21,23,0
396,22,24,0
397,19,21,0
398,24,26,0
399,31,23,1
400,14,16,0
401,36,28,1
402,25,27,0
403,15,17,0
404,22,24,0
405,19,21,0
406,14,16,0
407,22,24,0
408,23,25,0
409,13,15,0
410,26,28,0
411,13,15,0
412,13,15,0
413,16,18,0
414,17,19,0
415,19,21,0
416,17,19,0
417,16,18,0
418,17,19,0
419,19,21,0
420,24,26,0
421,23,25,0
422,19,21,0
423,15,17,0
424,25,27,0
425,11,13,0
426,20,22,0
427,18,20,0
428,22,24,0
429,20,22,0
430,11,13,0
431,19,21,0
432,16,18,0
433,19,21,0
434,18,20,0
435,14,16,0
436,23,25,0
437,19,21,0
438,33,25,1
439,24,26,0
440,14,16,0
441,20,22,0
442,21,23,0
443,25,27,0
444,18,20,0
445,17,19,0
446,19,21,0
447,19,21,0
448,24,26,0
449,17,19,0
450,16,18,0
451,16,18,0
452,16,18,0
453,16,18,0
454,23,25,0
455,14,16,0
456,19,21,0
457,15,17,0
458,16,18,0
459,23,25,0
460,16,18,0
461,14,16,0
462,21,23,0
463,20,22,0
464,19,21,0
465,17,19,0
466,15,17,0
467,18,20,0
468,13,15,0
469,14,16,0
470,26,28,0
471,23,25,0
472,14,16,0
473,13,15,0
474,26,28,0
475,19,21,0
476,17,19,0
477,13,15,0
478,16,18,0
479,22,24,0
480,14,16,0
481,18,20,0
482,23,25,0
483,24,26,0
484,17,19,0
485,16,18,0
486,18,20,0
487,26,28,0
488,19,21,0
489,19,21,0
490,17,19,0
491,24,26,0
